index	text
1	{Value:float:decimalPlaces=2} G
2	Accept
3	Attacked
4	Blood Loss
5	Disease
6	Fight
7	Starvation
8	None
9	Old Age
10	Poisoned
11	Shot
12	Storm
13	Dehydration
14	Acrocanthosaurus
15	ak-ro-KANTH-uh-SAWR-us
16	Consultant Paleontologist
17	Albertosaurus
18	al-BER-tuh-SAWR-us
19	Allosaurus
20	AL-uh-SAWR-us
21	Amargasaurus
22	ah-MAR-guh-SAWR-us
23	Equipment
24	x{Value:int}
25	{Value:float:decimalPlaces=2}º
26	{Value:float:decimalPlaces=0}º
27	Ankylosaurids
28	Ankylosaurus
29	Ankylosaurus
30	an-KY-low-SAWR-us
31	an-KY-low-SAWR-us
32	Apatosaurus
33	a-PAT-oh-SAWR-us
34	Archaeornithomimus
35	AR-kee-or-NITH-uh-MY-mus
36	Attenborosaurus
37	AT-ten-bo-ro-SAWR-us
38	Autosave
39	Challenge Autosave
40	Chaos Theory Autosave
41	SandboxAutosave
42	Back
43	Baryonyx
44	barr-ee-ON-icks
45	Blood Donor
46	Blood Recipient
47	Blue
48	Brachiosaurus
49	Brachiosaurus
50	BRACC-ee-oh-SAWR-us
51	Brachiosaurus
52	BRACC-ee-oh-SAWR-us
53	BRACC-ee-oh-SAWR-us
54	Brachiosaurus
55	Broken Claw
56	Broken Wing
57	Build
58	Operations
59	Demolish
60	Enclosures
61	Attractions
62	Facilities
63	Feeders
64	Provides Meat, Fish, and 'Prey' to dinosaurs to satisfy their Comfort and Hunger.<br><br>Food is dispensed when needed. Empty Feeders must be resupplied by Ranger Teams.
65	First Person View
66	Paths
67	Power
68	Decorations
69	Signs
70	Operatives
71	Environment
72	Test
73	Transport
74	Guests
75	Fences
76	Separates dinosaurs from guests and each other. A fence's Security Rating determines how easy it is for a dinosaur to escape.
77	Separates dinosaurs from operatives and each other. A fence's Security Rating determines how easy it is for a dinosaur to escape.
78	Build Decoration
79	Amenity View
80	Connect Track
81	Decorations
82	
83	Facility
84	Lagoon
85	Lighting
86	Park
87	Signage
88	Foliage
89	Rustler Defenses
90	Mark and Trap Rustlers
91	Guided Tour
92	Provides visibility
93	Park Tour
94	Provides visibility
95	Electrified
96	No
97	Yes
98	Feeders
99	
100	Provide food
101	
102	
103	
104	Guests unable to visit
105	Gyrosphere Tour
106	Provides visibility
107	Jurassic Tour
108	Provides visibility
109	Truck Tour
110	Provides visibility
111	Monorails
112	Improves Transport Rating
113	Operatives unable to visit
114	Overcrowding View
115	Off
116	On
117	Path Capacity
118	Paths
119	Select type
120	Power
121	Distribute power
122	Replace
123	You're about to replace multiple areas of path, are you sure you want to proceed?
124	Replacement cost
125	selected paths
126	Paths selected
127	Refund value
128	Bulk Replace
129	Replace
130	Off
131	On
132	On - Brush
133	On - Default
134	Are you sure you want to replace {name}?
135	Something is preventing {name} from being replaced at the moment.
136	Show visibility
137	Off
138	On
139	
140	
141	View mode:
142	Power
143	Visibility
144	Fences
145	Enclosure building
146	
147	Current Total
148	Desired by
149	Drink
150	Food
151	Shopping
152	Guest Appeal
153	Max. per Level
154	Power Output
155	Power Used
156	Permitted in Tour Area
157	Shopping
158	Restroom
159	Tunnel Connection
160	Upgrade Slots
161	Upkeep per Min
162	{Value:currency}
163	Electric Warning Sign
164	Aviary Tour Gate
165	Cannot be deactivated.
166	Allows tours to access Aviaries.
167	Aviary Tour Gates
168	Aviary Dome
169	Aviary Dome
170	Large exhibit containing flying reptiles. Domes can be joined together to increase the population cap.
171	Aviary Domes
172	Aviary Dome
173	Large exhibit containing flying reptiles. Domes can be joined together to increase the population cap.
174	Aviary Domes
175	Large exhibit containing flying reptiles. Domes can be joined together to increase the population cap.
176	Aviary Domes
177	Aviary Tour Gate
178	Cannot be deactivated.
179	Allows tours to access Aviaries.
180	Aviary Tour Gates
181	Aviary Tour Gate
182	Cannot be deactivated.
183	Allows tours to access Aviaries.
184	Aviary Tour Gates
185	Aviary Jurassic Tour Gate
186	Cannot be deactivated.
187	Allows tours to access Aviaries.
188	Aviary Jurassic Tour Gates
189	Aviary Gyrosphere Gate
190	Cannot be deactivated.
191	Allows Gyrosphere tours to access Aviaries.
192	Aviary Gyrosphere Gates
193	Aviary Hatchery
194	Aviary Hatchery
195	Deactivating will prevent new synthesis and incubation tasks from being assigned. No power is drawn until it is reactivated.
196	Allows the genetic synthesis, modification, incubation, and release of flying reptiles. <br><br>Must be attached directly to an Aviary Dome.
197	Aviary Hatcheries
198	Deactivating will prevent new synthesis and incubation tasks from being assigned. No power is drawn until it is reactivated.
199	Aviary Hatchery
200	Deactivating will prevent new synthesis and incubation tasks from being assigned. No power is drawn until it is reactivated.
201	Allows the genetic synthesis, modification, incubation, and release of flying reptiles. <br><br>Must be attached directly to an Aviary Dome.
202	Aviary Hatcheries
203	Allows the genetic synthesis, modification, incubation, and release of flying reptiles. <br><br>Must be attached directly to an Aviary Dome.
204	Aviary Hatcheries
205	Aviary Jurassic Tour Gate
206	Cannot be deactivated.
207	Allows tours to access Aviaries.
208	Aviary Jurassic Tour Gates
209	Aviary Tour Gate
210	Cannot be deactivated.
211	Allows tours to access Aviaries.
212	Aviary Tour Gates
213	Aviary Viewing Gallery
214	Aviary Viewing Gallery
215	Deactivating will prevent viewing from this location. No power is drawn until it is reactivated.
216	A gallery that provides visibility into Aviaries for park guests. <br><br>Flying reptiles only appeal to guests if they have been recently visible. <br><br>Must attach directly to an Aviary Dome.
217	Aviary Viewing Galleries
218	Deactivating will prevent viewing from this location. No power is drawn until it is reactivated.
219	Aviary Viewing Gallery
220	Deactivating will prevent viewing from this location. No power is drawn until it is reactivated.
221	A gallery that provides visibility into Aviaries for guests. <br><br>Flying reptiles only appeal to guests if they have been recently visible. <br><br>Must attach directly to an Aviary Dome.
222	A gallery that provides visibility into Aviaries for operatives. <br><br>Flying reptiles only contribute to asset rating if they have been recently visible. <br><br>Must attach directly to an Aviary Dome.
223	Aviary Viewing Galleries
224	A gallery that provides visibility into Aviaries for park guests. <br><br>Flying reptiles only appeal to guests if they have been recently visible. <br><br>Must attach directly to an Aviary Dome.
225	Aviary Viewing Galleries
226	Big Pylon
227	Alpine
228	Desert
229	Mediterranean
230	Taiga
231	Temperate (Autumn)
232	Temperate
233	Tropical
234	Car Track
235	Feeder
236	Hatchery
237	Global Operations Center
238	Power Stations
239	Substations
240	Response Facility
241	Concrete Tour Track
242	Aviary
243	Lagoon
244	Classic Attraction Banner - Dome
245	Classic Attraction Banner - Dome
246	Classic Attraction Banner - Lagoon
247	Classic Attraction Banner - Lagoon
248	Classic Attraction Banner - Log
